,Name,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Seats,n_price
52,Maruti Swift Ldi BSIV,5058.77,2014,53000,Diesel,Manual,First,17.8 kmpl,1248 CC,5.0,17407
53,Maruti Swift VDI,5901.9,2013,65650,Diesel,Manual,First,28.4 kmpl,1248 CC,5.0,14017
54,Hyundai Grand i10 Sportz,5518.66,2015,54000,Petrol,Manual,Third,18.9 kmpl,1197 CC,5.0,11822
55,Volkswagen Vento 2013-2015 1.6 Comfortline,6116.51,2015,39000,Petrol,Manual,First,15.04 kmpl,1598 CC,5.0,22398
56,Renault KWID RXT,5058.77,2017,16542,Petrol,Manual,First,25.17 kmpl,799 CC,5.0,7950
57,Hyundai i10 Asta,3173.23,2010,32000,Petrol,Manual,First,20.36 kmpl,1197 CC,5.0,11798
58,Nissan X-Trail SLX AT,11880.44,2010,121812,Diesel,Automatic,First,13.29 kmpl,1995 CC,5.0,60931
59,Maruti Zen Estilo VXI BSIII,3449.16,2010,39300,Petrol,Manual,First,18.2 kmpl,998 CC,5.0,10613
60,Toyota Innova Crysta 2.4 GX MT 8S,25293.84,2017,22000,Diesel,Manual,First,13.68 kmpl,2393 CC,8.0,29809
61,Ford Figo Diesel Titanium,4215.64,2010,72000,Diesel,Manual,First,20.0 kmpl,1399 CC,5.0,23826
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,40930.03,2015,58000,Petrol,Automatic,First,11.74 kmpl,1796 CC,5.0,105809
63,Mercedes-Benz New C-Class 200 CDI Classic,15329.6,2011,65000,Diesel,Manual,Second,15.8 kmpl,2148 CC,5.0,33001
64,Tata Indica V2 eLS,3832.4,2016,178000,Diesel,Manual,First,25.0 kmpl,1396 CC,5.0,14100
65,Audi A4 2.0 TDI Multitronic,20694.96,2012,65664,Diesel,Automatic,First,16.55 kmpl,1968 CC,5.0,71057
66,Honda City ZX CVT,2835.98,2007,63000,Petrol,Automatic,Second,16.4 kmpl,1497 CC,5.0,27209
67,Mercedes-Benz C-Class Progressive C 220d,54680.68,2019,15369,Diesel,Automatic,First,17.9 kmpl,1950 CC,5.0,108341
68,Maruti Ertiga SHVS VDI,12493.62,2016,63000,Diesel,Manual,First,24.52 kmpl,1248 CC,7.0,23121
69,Hyundai Creta 1.4 E Plus Diesel,16096.08,2018,13000,Diesel,Manual,First,22.1 kmpl,1396 CC,5.0,22058
70,Porsche Cayenne 2009-2014 Turbo,22227.92,2008,73000,Petrol,Automatic,First,8.5 kmpl,4806 CC,5.0,71401
71,Mahindra XUV500 W8 4WD,14793.06,2015,55729,Diesel,Manual,First,15.1 kmpl,2179 CC,7.0,30996
72,Hyundai i10 Sportz 1.2 AT,5334.7,2012,45178,Petrol,Automatic,First,16.95 kmpl,1197 CC,5.0,15454
73,Nissan Terrano XV D Pre,10608.08,2015,56066,Diesel,Manual,First,19.64 kmpl,1461 CC,5.0,24554
74,Honda Brio VX AT,9902.92,2016,37300,Petrol,Automatic,Second,16.5 kmpl,1198 CC,5.0,18665
75,Audi A6 2.0 TDI Design Edition,45222.32,2014,56000,Diesel,Automatic,Second,18.53 kmpl,1968 CC,5.0,82124
76,Ford Fiesta 1.4 SXi TDCi,3065.92,2008,111111,Diesel,Manual,First,17.8 kmpl,1399 CC,5.0,25353
77,Toyota Innova 2.0 G1,6898.32,2006,230000,Petrol,Manual,Third,12.4 kmpl,1998 CC,8.0,40239
78,Toyota Innova 2.5 VX 7 STR BSIV,18012.28,2012,104000,Diesel,Manual,First,12.8 kmpl,2494 CC,7.0,49187
79,Hyundai Santro Xing XL,1992.85,2005,87591,Petrol,Manual,First,14.2 kmpl,1086 CC,5.0,13807
80,Maruti Swift VDI,5748.6,2012,95100,Diesel,Manual,First,22.9 kmpl,1248 CC,5.0,14965
81,Tata Zest Revotron 1.2T XE,6898.32,2017,70000,Petrol,Manual,First,17.57 kmpl,1193 CC,5.0,14270
82,Honda Amaze SX i-VTEC,7388.87,2016,54944,Petrol,Manual,First,18.0 kmpl,1198 CC,5.0,13662
83,Ford Figo Diesel ZXI,4292.29,2012,70337,Diesel,Manual,First,20.0 kmpl,1399 CC,5.0,21507
84,Maruti Ritz VDi,4767.51,2013,99638,Diesel,Manual,First,23.2 kmpl,1248 CC,5.0,14775
85,Honda City i VTEC E,4982.12,2009,52000,Petrol,Manual,First,17.8 kmpl,1497 CC,5.0,21492
86,BMW 5 Series 2003-2012 525d,21308.14,2011,75000,Diesel,Automatic,Second,16.73 kmpl,1995 CC,5.0,71161
87,Hyundai i10 Sportz 1.2,3449.16,2009,95980,Petrol,Manual,First,20.36 kmpl,1197 CC,5.0,12213
88,Hyundai Grand i10 Sportz,8814.52,2016,16000,Petrol,Manual,First,18.9 kmpl,1197 CC,5.0,14199
89,Hyundai Santro Xing XO,3219.22,2007,73745,Petrol,Manual,First,17.0 kmpl,1086 CC,5.0,12470
90,Honda Amaze SX i-VTEC,7664.8,2016,18949,Petrol,Manual,First,17.8 kmpl,1198 CC,5.0,15341
91,Toyota Fortuner 4x2 Manual,25293.84,2014,107000,Diesel,Manual,First,13.0 kmpl,2982 CC,7.0,24498
92,Audi A6 2011-2015 35 TDI Premium,60674.56,2018,48367,Diesel,Automatic,First,17.68 kmpl,1968 CC,5.0,128003
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,8431.28,2013,57000,Diesel,Manual,First,22.7 kmpl,1498 CC,5.0,20899
94,Mahindra XUV500 W8 2WD,12416.98,2014,58000,Diesel,Manual,First,15.1 kmpl,2179 CC,7.0,30230
95,Honda Amaze SX i-DTEC,5365.36,2015,30000,Diesel,Manual,First,25.8 kmpl,1498 CC,5.0,14872
96,Volkswagen Polo Diesel Highline 1.2L,4276.96,2013,34212,Diesel,Manual,First,22.07 kmpl,1199 CC,5.0,10834
97,Hyundai Verna Transform SX VGT CRDi,5288.71,2010,70002,Diesel,Manual,First,16.2 kmpl,1493 CC,5.0,23013
98,Maruti Wagon R VXI BS IV,6821.67,2016,62000,Petrol,Manual,First,18.9 kmpl,998 CC,5.0,11599
99,Volkswagen Polo Petrol Highline 1.6L,4062.34,2010,62001,Petrol,Manual,First,15.26 kmpl,1598 CC,5.0,22660
100,Hyundai i20 1.4 CRDi Sportz,5825.25,2011,78958,Diesel,Manual,Second,23.0 kmpl,1396 CC,5.0,18691
101,Hyundai i20 Asta 1.2,7128.26,2014,30180,Petrol,Manual,First,18.5 kmpl,1197 CC,5.0,13763
102,Datsun GO Plus T Petrol,6055.19,2017,32851,Petrol,Manual,First,19.83 kmpl,1198 CC,7.0,13469
103,Audi A4 3.0 TDI Quattro Premium,15023.01,2010,30000,Diesel,Automatic,First,14.94 kmpl,2967 CC,5.0,50276
104,Hyundai i20 2015-2017 Asta,4138.99,2009,66000,Petrol,Manual,Second,17.0 kmpl,1197 CC,5.0,13461
105,Maruti Omni 5 Str STD,3694.43,2010,93850,Petrol,Manual,First,14.0 kmpl,796 CC,5.0,8380
106,Toyota Etios Liva 1.2 G,5978.54,2014,53000,Petrol,Manual,First,17.71 kmpl,1197 CC,5.0,12962
107,Jaguar XF 3.0 Litre S Premium Luxury,36791.04,2011,78000,Diesel,Automatic,Second,14.74 kmpl,2993 CC,5.0,44237
108,Mahindra XUV500 W8 2WD,8814.52,2012,65000,Diesel,Manual,Second,16.0 kmpl,2179 CC,7.0,17353
109,Hyundai Verna 1.6 SX CRDI (O) AT,8048.04,2014,40000,Diesel,Automatic,First,22.32 kmpl,1582 CC,5.0,22900
110,Toyota Innova Crysta 2.8 ZX AT,29509.48,2017,30000,Diesel,Automatic,First,11.36 kmpl,2755 CC,7.0,70111
111,Maruti Eeco 5 Seater AC,5993.87,2017,38053,Petrol,Manual,First,15.1 kmpl,1196 CC,5.0,12987
112,Tata Nano Twist XT,3295.86,2014,25500,Petrol,Manual,First,25.4 kmpl,624 CC,4.0,6104
113,BMW 3 Series 320d Luxury Line,31808.92,2015,56087,Diesel,Automatic,First,22.69 kmpl,1995 CC,5.0,83234
114,Honda Civic 2006-2010 1.8 V MT,5135.42,2010,71088,Petrol,Manual,First,13.5 kmpl,1799 CC,5.0,26331
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,17031.19,2014,55000,Diesel,Manual,First,12.99 kmpl,2494 CC,7.0,42286
116,Volvo V40 Cross Country D3,30659.2,2014,32700,Diesel,Automatic,First,23.3 kmpl,1984 CC,5.0,77173
117,Nissan Micra XV CVT,10040.89,2016,39882,Petrol,Automatic,First,19.15 kmpl,1198 CC,5.0,16514
118,BMW 5 Series 2010-2013 525i,10730.72,2009,128000,Petrol,Automatic,First,10.8 kmpl,2497 CC,5.0,58104
119,Maruti Vitara Brezza VDi,11497.2,2016,55000,Diesel,Manual,First,24.3 kmpl,1248 CC,5.0,21128
120,Hyundai Santro Xing XL eRLX Euro III,1303.02,2005,102000,Petrol,Manual,Second,17.0 kmpl,1086 CC,5.0,14126
121,Mercedes-Benz B Class B200 CDI,25677.08,2014,53753,Diesel,Automatic,Second,15.0 kmpl,2143 CC,5.0,73538
122,Hyundai Verna CRDi 1.6 SX Option,16785.91,2018,10250,Diesel,Manual,First,22.0 kmpl,1582 CC,5.0,24886
123,Maruti Wagon R LXI BS IV,3755.75,2011,43874,Petrol,Manual,First,18.9 kmpl,998 CC,5.0,10123
124,Tata Nano XTA,4951.46,2017,32684,Petrol,Automatic,First,21.9 kmpl,624 CC,4.0,7508
125,Mahindra Scorpio VLX,11880.44,2014,42000,Diesel,Manual,First,12.05 kmpl,2179 CC,8.0,37951
126,Mercedes-Benz New C-Class 200 K AT,14333.18,2009,28352,Petrol,Automatic,First,11.7 kmpl,1796 CC,5.0,54207
127,Maruti Wagon R LXI CNG,4982.12,2013,89900,CNG,Manual,First,26.6 kmpl,998 CC,5.0,9502
128,Honda CR-V 2.4 MT,8048.04,2007,47700,Petrol,Manual,Second,10.8 kmpl,2354 CC,5.0,25150
129,Volkswagen Vento 1.5 TDI Comfortline AT,11113.96,2015,55000,Diesel,Automatic,First,21.21 kmpl,1498 CC,5.0,26912
130,Maruti Ciaz VXi Plus,11451.21,2017,44285,Petrol,Manual,First,20.73 kmpl,1373 CC,5.0,24943
131,Mahindra XUV500 AT W10 FWD,20311.72,2016,54000,Diesel,Automatic,First,16.0 kmpl,2179 CC,7.0,40907
132,Maruti Ritz VXI ABS,8906.5,2016,30232,Petrol,Manual,First,21.1 kmpl,1197 CC,5.0,14808
133,Maruti Alto K10 VXI,3985.7,2014,88500,Petrol,Manual,First,24.07 kmpl,998 CC,5.0,10799
134,Mercedes-Benz SLC 43 AMG,82779.84,2017,13372,Petrol,Automatic,First,19.0 kmpl,2996 CC,2.0,170231
135,Hyundai Verna VTVT 1.6 AT SX Plus,17629.04,2019,12645,Petrol,Automatic,First,17.0 kmpl,1591 CC,5.0,40215
136,Maruti Alto LXi BSIII,2452.74,2010,94385,Petrol,Manual,Second,19.7 kmpl,796 CC,5.0,8355
137,BMW 1 Series 118d Base,26397.57,2015,31821,Diesel,Automatic,First,20.58 kmpl,1995 CC,5.0,91050
138,Honda Jazz 1.2 V CVT i VTEC,9197.76,2015,12000,Petrol,Automatic,First,19.0 kmpl,1199 CC,5.0,15785
139,Honda Civic 2006-2010 1.8 V MT,6055.19,2012,88578,Petrol,Manual,First,13.5 kmpl,1799 CC,5.0,25279
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,27516.63,2014,44965,Diesel,Automatic,First,19.27 kmpl,2143 CC,5.0,88330
141,Honda Amaze SX i-DTEC,5671.95,2014,45044,Diesel,Manual,First,25.8 kmpl,1498 CC,5.0,14661
142,Maruti Swift VVT VXI,8323.97,2016,34204,Petrol,Manual,First,22.0 kmpl,1197 CC,5.0,14160
143,Hyundai Santro Xing XO eRLX Euro II,2560.04,2008,80759,Petrol,Manual,Third,17.0 kmpl,1086 CC,5.0,11213
144,Toyota Fortuner 3.0 Diesel,20679.63,2012,91235,Diesel,Manual,First,11.5 kmpl,2982 CC,7.0,37187
145,Chevrolet Beat LT Option,4368.94,2014,38800,Petrol,Manual,First,18.6 kmpl,1199 CC,5.0,11940
146,Skoda Rapid 1.5 TDI Elegance,7281.56,2013,83000,Diesel,Manual,First,21.14 kmpl,1498 CC,5.0,19437
147,Maruti Ciaz 1.4 Alpha,15176.3,2018,41283,Petrol,Manual,First,20.73 kmpl,1373 CC,5.0,24198
148,Audi RS5 Coupe,56719.52,2013,23000,Petrol,Automatic,First,11.05 kmpl,2894 CC,4.0,153818
149,BMW 3 Series Luxury Line,40623.44,2014,48000,Diesel,Automatic,First,21.76 kmpl,1995 CC,5.0,91930
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,35748.63,2015,48214,Diesel,Automatic,First,17.11 kmpl,1968 CC,5.0,84417
151,Maruti Swift VDI,9581.0,2016,35000,Diesel,Manual,First,22.9 kmpl,1248 CC,5.0,19481
152,Mercedes-Benz S Class 2005 2013 S 500,45988.8,2010,35277,Petrol,Automatic,First,7.81 kmpl,5461 CC,5.0,86210
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,15114.99,2016,54620,Diesel,Automatic,First,21.66 kmpl,1498 CC,5.0,33092
154,Skoda Superb Elegance 2.0 TDI CR AT,13030.16,2012,136997,Diesel,Automatic,First,17.2 kmpl,1968 CC,5.0,60599
155,Hyundai EON Magna Plus,6484.42,2019,14322,Petrol,Manual,First,21.1 kmpl,814 CC,5.0,9622
156,Volkswagen Polo Diesel Trendline 1.2L,5365.36,2012,65634,Diesel,Manual,First,22.07 kmpl,1199 CC,5.0,10811
157,Datsun GO NXT,3832.4,2016,6000,Petrol,Manual,First,20.63 kmpl,1198 CC,5.0,11180
158,Honda Brio S MT,3663.77,2013,33280,Petrol,Manual,First,19.4 kmpl,1198 CC,5.0,10088
159,Mercedes-Benz B Class B180,17245.8,2013,29000,Petrol,Automatic,First,14.8 kmpl,1595 CC,5.0,43876
160,Honda City i DTEC V,10899.35,2015,42831,Diesel,Manual,First,26.0 kmpl,1498 CC,5.0,20405
161,Toyota Innova 2.5 G (Diesel) 7 Seater,16709.26,2016,90000,Diesel,Manual,First,12.99 kmpl,2494 CC,7.0,46327
162,Maruti Swift VXI Optional,9504.35,2017,24005,Petrol,Manual,First,20.4 kmpl,1197 CC,5.0,16264
163,Mahindra XUV500 W8 2WD,12110.38,2012,32792,Diesel,Manual,First,15.1 kmpl,2179 CC,7.0,28142
164,Ford Ecosport 1.5 DV5 MT Ambiente,6775.68,2014,147898,Diesel,Manual,First,22.7 kmpl,1498 CC,5.0,19302
165,Toyota Fortuner 4x2 Manual,20694.96,2012,131765,Diesel,Manual,First,13.0 kmpl,2982 CC,7.0,36047
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,9581.0,2013,65000,Diesel,Automatic,First,21.5 kmpl,1498 CC,5.0,19891
167,Ford Figo Diesel Titanium,3219.22,2010,66123,Diesel,Manual,Second,20.0 kmpl,1399 CC,5.0,21143
168,BMW X5 xDrive 30d,68983.2,2015,41000,Diesel,Automatic,First,15.3 kmpl,2993 CC,5.0,109747
169,Mercedes-Benz New C-Class C 220 CDI Style,51599.43,2017,23550,Diesel,Automatic,First,19.27 kmpl,2143 CC,5.0,97838
170,Honda Brio V MT,5595.3,2012,45000,Petrol,Manual,Second,19.4 kmpl,1198 CC,5.0,10725
171,Hyundai i10 Magna 1.2,4215.64,2013,60000,Petrol,Manual,First,20.36 kmpl,1197 CC,5.0,11343
172,Mercedes-Benz GLC 220,65150.8,2016,44414,Diesel,Automatic,First,17.9 kmpl,2143 CC,5.0,123424
173,Hyundai Grand i10 1.2 Kappa Asta,9964.24,2019,1000,Petrol,Manual,First,18.9 kmpl,1197 CC,5.0,14455
174,Audi A6 2011-2015 2.0 TDI Premium Plus,29126.24,2012,62500,Diesel,Automatic,Second,17.68 kmpl,1968 CC,5.0,94725
175,Volkswagen Vento Petrol Highline AT,6821.67,2013,21000,Petrol,Automatic,Second,14.4 kmpl,1598 CC,5.0,29357
176,Mini Countryman Cooper D,35258.08,2017,8525,Diesel,Automatic,Second,16.6 kmpl,1998 CC,5.0,72144
177,Hyundai i20 Asta 1.4 CRDi,12800.22,2014,29000,Diesel,Manual,First,22.54 kmpl,1396 CC,5.0,24634
178,Audi A6 2011-2015 2.0 TDI Premium Plus,35181.43,2014,40000,Diesel,Automatic,First,17.68 kmpl,1968 CC,5.0,99158
179,Chevrolet Beat Diesel LT,2299.44,2012,88000,Diesel,Manual,First,25.44 kmpl,936 CC,5.0,9224
180,Skoda Superb Elegance 1.8 TSI AT,10562.09,2012,53537,Petrol,Automatic,First,13.7 kmpl,1798 CC,5.0,45179
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,2222.79,2006,216000,Diesel,Manual,Second,17.8 kmpl,1399 CC,5.0,26352
182,BMW 5 Series 520d Luxury Line,51354.16,2014,51000,Diesel,Automatic,First,22.48 kmpl,1995 CC,5.0,101802
183,Chevrolet Optra Magnum 1.6 LS BS3,1916.2,2007,118500,Petrol,Manual,First,12.9 kmpl,1598 CC,5.0,24244
184,Volkswagen Polo Diesel Highline 1.2L,6438.43,2012,63000,Diesel,Manual,First,22.07 kmpl,1199 CC,5.0,13020
185,Renault Lodgy 110PS RxZ 8 Seater,10347.48,2015,25000,Diesel,Manual,First,19.98 kmpl,1461 CC,8.0,24572
186,Mercedes-Benz E-Class E250 CDI Avantgrade,49054.72,2014,37382,Diesel,Automatic,First,13.0 kmpl,2143 CC,5.0,95169
187,Maruti Baleno Alpha,11497.2,2017,24773,Petrol,Manual,First,21.4 kmpl,1197 CC,5.0,17096
188,Hyundai Verna 1.6 SX,7051.62,2012,62000,Diesel,Manual,First,22.32 kmpl,1582 CC,5.0,22772
189,Hyundai i10 Magna 1.1,6193.16,2017,52340,Petrol,Manual,First,19.81 kmpl,1086 CC,5.0,12119
190,Mahindra Scorpio 1.99 S10 4WD,15804.82,2016,56739,Diesel,Manual,First,15.4 kmpl,1997 CC,7.0,29157
191,Land Rover Range Rover 2.2L Dynamic,85477.85,2018,36091,Diesel,Automatic,First,12.7 kmpl,2179 CC,5.0,131298
192,Ford Figo Diesel ZXI,3985.7,2010,120000,Diesel,Manual,First,20.0 kmpl,1399 CC,5.0,27304
193,Maruti Ertiga ZDI,13030.16,2016,33000,Diesel,Manual,First,25.47 kmpl,1248 CC,7.0,23394
194,Honda City 1.5 GXI,4522.23,2007,60006,Petrol,Manual,First,12.9 kmpl,1498 CC,5.0,22952
195,Honda Amaze S i-Dtech,5365.36,2014,52000,Diesel,Manual,First,25.8 kmpl,1498 CC,5.0,15812
196,Hyundai i10 Magna,5442.01,2015,43571,Petrol,Manual,First,20.36 kmpl,1197 CC,5.0,11015
197,Honda Amaze S i-Dtech,4982.12,2013,50000,Diesel,Manual,First,25.8 kmpl,1498 CC,5.0,15548
198,Skoda Laura Ambiente,6898.32,2008,113000,Diesel,Manual,First,17.5 kmpl,1896 CC,5.0,41921
199,Renault Duster 85PS Diesel RxL,8201.34,2014,90000,Diesel,Manual,First,19.87 kmpl,1461 CC,5.0,25538
200,Mahindra NuvoSport N6,9964.24,2017,29000,Diesel,Manual,Second,17.45 kmpl,1493 CC,7.0,23413
201,Maruti Vitara Brezza ZDi Plus Dual Tone,13796.64,2016,20000,Diesel,Manual,First,24.3 kmpl,1248 CC,5.0,23490
202,Hyundai i20 Asta Option 1.2,9197.76,2016,61012,Petrol,Manual,First,18.6 kmpl,1197 CC,5.0,14257
203,Skoda Fabia 1.4 MPI Ambiente,4215.64,2009,87459,Petrol,Manual,First,14.7 kmpl,1390 CC,5.0,24221
204,Tata Indigo eCS GLX,2299.44,2010,70500,Petrol,Manual,First,15.64 kmpl,1193 CC,5.0,12965
205,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,30505.9,2015,64103,Diesel,Automatic,First,15.73 kmpl,1968 CC,5.0,72645
206,Skoda Octavia Elegance 1.8 TSI AT,15329.6,2014,76000,Petrol,Automatic,First,14.7 kmpl,1798 CC,5.0,64228
207,Toyota Etios Liva GD SP,4598.88,2014,104000,Diesel,Manual,First,23.59 kmpl,1364 CC,5.0,17569
208,Maruti Swift 1.3 VXi,3234.55,2010,42001,Petrol,Manual,First,16.1 kmpl,1248 CC,5.0,17251
209,Mercedes-Benz B Class B180,18334.2,2014,37245,Petrol,Automatic,First,14.8 kmpl,1595 CC,5.0,46869
210,Honda Amaze S Diesel,4982.12,2013,45000,Diesel,Manual,First,27.4 kmpl,1498 CC,5.0,13764
211,Hyundai Verna 1.6 SX,7281.56,2012,117837,Diesel,Manual,Second,22.32 kmpl,1582 CC,5.0,18826
212,Renault Duster 85PS Diesel RxL Optional,9121.11,2014,30000,Diesel,Manual,First,20.46 kmpl,1461 CC,5.0,22731
213,Hyundai Creta 1.6 VTVT S,12493.62,2015,27057,Petrol,Manual,Second,15.29 kmpl,1591 CC,5.0,25910
214,Maruti Wagon R AMT VXI,6469.09,2016,8500,Petrol,Automatic,First,20.51 kmpl,998 CC,5.0,13061
